postcode,eastings,northings,source
B9 4TR,409786,286713,postcodes
B9 5QA,411518,286465,postcodes
B9 5SX,411310,286634,postcodes
B90 2AZ,411345,278535,postcodes
B90 2PZ,411610,277942,postcodes
B90 4DX,412243,276323,postcodes
B91 1SB,414236,279083,postcodes
B91 1SN,413886,278705,postcodes
B91 3DJ,415649,279645,postcodes
B91 3NZ,414461,278624,postcodes
B91 3PD,414034,278622,postcodes
B91 3WR,415564,278675,postcodes
B92 7ER,412889,281194,postcodes
B93 0PT,417695,276176,postcodes
B97 5LX,403724,263720,postcodes
B97 6PQ,402595,267785,postcodes
B98 0GF,407074,266648,postcodes
B98 0HF,406983,266072,postcodes
B98 7UH,406277,264898,postcodes
B98 8DW,404298,267714,postcodes
B98 8HB,404461,267851,postcodes
BA1 1UP,374857,164581,postcodes
BA1 2HX,374767,165047,postcodes
BA1 5RG,374356,166715,postcodes
BA1 5SZ,374674,166525,postcodes
BA1 6ND,375686,166713,postcodes
BA1 9AB,371650,166107,postcodes
BA10 0DF,367668,134108,postcodes
BA10 0ED,368293,134610,postcodes
BA11 2AB,377999,148319,postcodes
BA11 2HB,377994,148612,postcodes
BA11 2HQ,378326,149364,postcodes
BA11 3RG,369929,150212,postcodes
BA11 4LA,377051,147963,postcodes
BA11 4LB,376377,147735,postcodes
BA12 8PJ,386885,145279,postcodes
BA12 9DR,388640,144805,postcodes
BA13 3QH,386912,150893,postcodes
BA13 4DL,385422,149989,postcodes
BA13 4JY,385680,153096,postcodes
BA13 4LF,386165,154239,postcodes
BA14 0DJ,384908,156958,postcodes
BA14 9EH,384737,157538,postcodes
BA14 9EN,384693,157619,postcodes
BA15 1DZ,382046,161478,postcodes
BA16 0PS,347717,135472,postcodes
BA16 0YD,349141,136222,postcodes
BA2 3LA,374177,164220,postcodes
BA2 4RE,375015,163751,postcodes
BA2 5AH,376211,162885,postcodes
BA2 5RF,374255,161932,postcodes
BA2 6HU,376182,165328,postcodes
BA2 7AD,376779,162706,postcodes
BA2 7HG,377372,162077,postcodes
BA2 8PA,373481,161673,postcodes
BA21 4DR,355320,116752,postcodes
BA21 4NZ,356208,117825,postcodes
BA21 5AZ,356873,116604,postcodes
BA22 8BE,357018,122207,postcodes
BA22 8ST,351874,116874,postcodes
BA3 2JD,366127,154003,postcodes
BA3 3AL,367182,153883,postcodes
BA3 3NQ,370048,154337,postcodes
BA3 4AD,366667,153608,postcodes
BA3 4RJ,365538,150643,postcodes
BA4 4FZ,363284,140301,postcodes
BA5 2NR,354410,146115,postcodes
BA5 2ST,355145,146123,postcodes
BB1 2PW,369819,426753,postcodes
BB1 5JT,369541,428835,postcodes
BB10 2AT,385581,434156,postcodes
BB10 3RB,390387,435192,postcodes
BB11 5BT,382491,431420,postcodes
BB12 0AN,383756,433095,postcodes
BB12 0QZ,383439,432971,postcodes
BB2 1LH,367801,428134,postcodes
BB2 2JR,367497,427458,postcodes
BB2 2LD,367893,427473,postcodes
BB2 3NY,368528,426557,postcodes
